frame,track_id_1,track_id_2,distance
0,0,1,39.503164430207356
0,0,2,60.104076400856535
0,1,2,98.65596788841515
1,0,1,39.503164430207356
1,0,2,59.14811915860048
1,1,2,97.67292357659824
2,0,1,35.503520952153465
2,0,2,58.50213671311502
2,1,2,92.9623579735368
3,0,1,34.514489710844636
3,0,2,58.345951016330176
3,1,2,91.98369420718001
4,0,1,36.50342449688796
4,0,2,57.29310604252487
4,1,2,92.19544457292888
5,0,1,36.003472054789384
5,0,2,56.73182528352142
5,1,2,90.95740761477317
6,0,1,35.014282800023196
6,0,2,57.65847726050351
6,1,2,91.31538753134656
7,0,1,34.514489710844636
7,0,2,56.360447123847415
7,1,2,89.61724164467459
8,0,1,37.0135110466435
8,0,2,55.94640292279745
8,1,2,90.70832376358854
9,0,1,36.50342449688796
9,0,2,55.94640292279745
9,1,2,90.34655499796325
10,0,1,37.030392922571046
10,0,2,55.70008976653448
10,1,2,90.2233340106649
11,0,1,32.50384592629001
11,0,2,55.084026722816844
11,1,2,85.9956394243336
12,0,1,36.53080891521566
12,0,2,51.915797210483056
12,1,2,85.30093786119822
13,0,1,36.585516259853435
13,0,2,52.22307918918607
13,1,2,84.9602848394472
14,0,1,37.030392922571046
14,0,2,51.478150704935004
14,1,2,85.30093786119822
15,0,1,38.58108344772085
15,0,2,52.050456290026894
15,1,2,86.54045296853951
16,0,1,41.69232543286594
16,0,2,49.78453575157652
16,1,2,86.26268022731497
17,0,1,41.69232543286594
17,0,2,49.78453575157652
17,1,2,86.26268022731497
18,0,1,41.24621194728069
18,0,2,49.648766349225646
18,1,2,85.30093786119822
19,0,1,42.7375712927162
19,0,2,48.41745553000489
19,1,2,85.30093786119822
20,0,1,42.19004621945797
20,0,2,48.41745553000489
20,1,2,84.9602848394472
21,0,1,41.24621194728069
21,0,2,47.900939447989956
21,1,2,83.04366321399846
22,0,1,40.749233121618374
22,0,2,48.106652346634974
22,1,2,82.38476800962663
23,0,1,38.551913052402476
23,0,2,47.88788990966296
23,1,2,78.42512352556417
24,0,1,39.38591118661596
24,0,2,45.71925196238451
24,1,2,77.4758026741253
25,0,1,39.6232255123179
25,0,2,46.34921790062913
25,1,2,77.00162335951107
26,0,1,40.37635446644484
26,0,2,45.64263357870578
26,1,2,77.79781487933965
27,0,1,40.37635446644484
27,0,2,44.90267252625394
27,1,2,76.55063683601855
28,0,1,41.512046444375635
28,0,2,44.90267252625394
28,1,2,77.16216689544171
29,0,1,41.862871377868956
29,0,2,44.91380634058975
29,1,2,78.27036476214992
30,0,1,39.6232255123179
30,0,2,44.91380634058975
30,1,2,75.4204879326566
31,0,1,38.63935817272331
31,0,2,44.91380634058975
31,1,2,74.47314952383846
32,0,1,40.031237802496186
32,0,2,44.1955880150949
32,1,2,75.10825520540335
33,0,1,39.04484601070928
33,0,2,44.1955880150949
33,1,2,74.16367035145981
34,0,1,40.031237802496186
34,0,2,43.488504228129074
34,1,2,74.16367035145981
35,0,1,36.28015986734347
35,0,2,44.5477272147525
35,1,2,72.69972489631581
36,0,1,37.90118731649445
36,0,2,43.522982434571276
36,1,2,72.05032963144582
37,0,1,37.831864876053885
37,0,2,43.89191269470949
37,1,2,72.4240981994253
38,0,1,38.551913052402476
38,0,2,44.30857704779065
38,1,2,72.2357252334328
39,0,1,39.71460688462118
39,0,2,43.729280808172454
39,1,2,71.58561307972434
40,0,1,38.39596332949598
40,0,2,42.95637321748661
40,1,2,71.03872183534835
41,0,1,38.890872965260115
41,0,2,42.5205832509386
41,1,2,71.58561307972434
42,0,1,38.890872965260115
42,0,2,43.02615483633182
42,1,2,71.23377008133151
43,0,1,37.769034936042516
43,0,2,42.95637321748661
43,1,2,70.97358663615641
44,0,1,39.38591118661596
44,0,2,41.70431632337353
44,1,2,70.11775809308224
45,0,1,39.319206502674994
45,0,2,40.70012284993744
45,1,2,69.19898843191278
46,0,1,38.2099463490856
46,0,2,40.70012284993744
46,1,2,68.69133860975488
47,0,1,40.80747480548141
47,0,2,40.5123437979093
47,1,2,69.85699678629192
48,0,1,39.81519810323691
48,0,2,40.70012284993744
48,1,2,69.65809357138623
49,0,1,39.81519810323691
49,0,2,39.94058086708304
49,1,2,68.02940540677979
50,0,1,40.37635446644484
50,0,2,39.38591118661595
50,1,2,67.36839021380872
51,0,1,40.37635446644484
51,0,2,39.38591118661595
51,1,2,67.36839021380872
52,0,1,39.38591118661596
52,0,2,38.55191305240247
52,1,2,66.04922406811454
53,0,1,40.37635446644484
53,0,2,38.84906691286162
53,1,2,66.45675285477014
54,0,1,40.37635446644484
54,0,2,38.33079701754191
54,1,2,65.54769256045556
55,0,1,41.93149174546501
55,0,2,39.446165846632034
55,1,2,67.57403347440494
56,0,1,41.012193308819754
56,0,2,42.05948168962618
56,1,2,70.83078426785913
57,0,1,41.012193308819754
57,0,2,42.5
57,1,2,71.0862152600629
58,0,1,41.012193308819754
58,0,2,42.5
58,1,2,71.0862152600629
59,0,1,41.0
59,0,2,42.05948168962618
59,1,2,71.34423592694787
60,0,1,42.01190307520001
60,0,2,42.93308747341612
60,1,2,71.60481827363296
61,0,1,42.01190307520001
61,0,2,41.59326868617084
61,1,2,70.83078426785913
62,0,1,41.012193308819754
62,0,2,42.05948168962618
62,1,2,70.83078426785913
63,0,1,41.012193308819754
63,0,2,41.59326868617084
63,1,2,69.9714227381436
64,0,1,40.01249804748512
64,0,2,41.59326868617084
64,1,2,69.1158447825099
65,0,1,40.527768258318886
65,0,2,42.04759208325728
65,1,2,68.95288246331694
66,0,1,39.503164430207356
66,0,2,41.59326868617084
66,1,2,69.48740893140281
67,0,1,39.503164430207356
67,0,2,42.48529157249601
67,1,2,69.48740893140281
68,0,1,39.503164430207356
68,0,2,42.48529157249601
68,1,2,69.48740893140281
69,0,1,39.01281840626232
69,0,2,42.04759208325728
69,1,2,67.95586803212802
70,0,1,38.52920969861697
70,0,2,42.714166268347086
70,1,2,67.95586803212802
71,0,1,38.52920969861697
71,0,2,41.81506905411015
71,1,2,67.4166151627327
72,0,1,38.52920969861697
72,0,2,41.81506905411015
72,1,2,67.4166151627327
73,0,1,37.52998800959041
73,0,2,42.26700841081612
73,1,2,67.4166151627327
74,0,1,39.01281840626232
74,0,2,41.14608122288197
74,1,2,67.4166151627327
75,0,1,38.05259518088089
75,0,2,42.48529157249601
75,1,2,67.4166151627327
76,0,1,39.01281840626232
76,0,2,42.04759208325728
76,1,2,67.95586803212802
77,0,1,37.50333318519835
77,0,2,42.26700841081612
77,1,2,67.95586803212802
78,0,1,39.01281840626232
78,0,2,41.62931659299729
78,1,2,67.11929677819933
79,0,1,38.51298482330343
79,0,2,41.62931659299729
79,1,2,66.7026985960838
80,0,1,38.01315561749642
80,0,2,41.382363393117124
80,1,2,66.42665127793211
81,0,1,36.03123644839294
81,0,2,42.71123973850443
81,1,2,66.42665127793211
82,0,1,37.52998800959041
82,0,2,41.81506905411015
82,1,2,66.57326790837296
83,0,1,38.00328933131973
83,0,2,41.382363393117124
83,1,2,66.7026985960838
84,0,1,39.05124837953328
84,0,2,42.5440947723653
84,1,2,67.11929677819933
85,0,1,36.50342449688796
85,0,2,42.71123973850443
85,1,2,67.39621651101788
86,0,1,39.01281840626232
86,0,2,41.59627387158614
86,1,2,67.68493185340442
87,0,1,37.50333318519835
87,0,2,41.82403615147634
87,1,2,67.68493185340442
88,0,1,39.05124837953328
88,0,2,42.08622102303793
88,1,2,66.84496989302936
89,0,1,36.50342449688796
89,0,2,42.03867267171979
89,1,2,66.7026985960838
